beer_name, brewery, style, score
Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Imperial Stout,4.84
Marshmallow Handjee,3 Floyds Brewing Co.,Russian Imperial Stout,4.74
Barrel-Aged Abraxas,Perennial Artisan Ales,American Imperial Stout,4.74
Heady Topper,The Alchemist Brewery and Visitors Center,American Imperial IPA,4.71
Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Imperial Stout,4.73
King Julius,Tree House Brewing Company,New England IPA,4.74
Pliny The Younger,Russian River Brewing Company,American Imperial IPA,4.7
Fundamental Observation,Bottle Logic Brewing,American Imperial Stout,4.71
Very Hazy,Tree House Brewing Company,New England IPA,4.72
Mornin' Delight,Toppling Goliath Brewing Company,American Imperial Stout,4.7
Bourbon County Brand Coffee Stout,Goose Island Beer Co.,American Imperial Stout,4.67
CBS (Canadian Breakfast Stout),Founders Brewing Company,American Imperial Stout,4.66
Julius,Tree House Brewing Company,New England IPA,4.66
SR-71,Toppling Goliath Brewing Company,American Imperial Stout,4.72
Very Green,Tree House Brewing Company,American Imperial IPA,4.68
Pliny The Elder,Russian River Brewing Company,American Imperial IPA,4.65
King JJJuliusss,Tree House Brewing Company,New England IPA,4.73
Double Sunshine IPA,Lawson's Finest Liquids,American Imperial IPA,4.66
Cantillon Fou' Foune,Brasserie Cantillon,Belgian Fruit Lambic,4.65
Juice Machine,Tree House Brewing Company,American Imperial IPA,4.68
Dinner,Maine Beer Company,American Imperial IPA,4.64
Assassin,Toppling Goliath Brewing Company,American Imperial Stout,4.65
Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,AleSmith Brewing Company,American Imperial Stout,4.66
Morning Wood,Funky Buddha Brewery,American Porter,4.65
Abner,Hill Farmstead Brewery,American Imperial IPA,4.63
Doubleganger,Tree House Brewing Company,American Imperial IPA,4.66
King Sue,Toppling Goliath Brewing Company,New England IPA,4.62
Parabola,Firestone Walker Brewing Co.,Russian Imperial Stout,4.61
Triple Sunshine IPA,Lawson's Finest Liquids,American Imperial IPA,4.65
Duck Duck Gooze,The Lost Abbey,Belgian Gueuze,4.62
Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Belgian Fruit Lambic,4.62
Drie Fonteinen Zenne Y Frontera,Brouwerij 3 Fonteinen,Belgian Lambic,4.73
KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Imperial Stout,4.6
Bourbon County Brand Stout,Goose Island Beer Co.,American Imperial Stout,4.6
Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgian Quadrupel (Quad),4.6
Double Citra,Hill Farmstead Brewery,American Imperial IPA,4.61
Zombie Dust,3 Floyds Brewing Co.,American Pale Ale (APA),4.59
Bourbon County Brand Vanilla Stout,Goose Island Beer Co.,American Imperial Stout,4.61
Double Galaxy,Hill Farmstead Brewery,American Imperial IPA,4.6
Double Dry Hopped Congress Street,Trillium Brewing Company,New England IPA,4.6
Fuzzy,Side Project Brewing,American Wild Ale,4.61
Atrial Rubicite,Jester King Brewery,American Wild Ale,4.59
Doppelganger,Tree House Brewing Company,New England IPA,4.59
Focal Banger,The Alchemist Brewery and Visitors Center,American IPA,4.58
Headroom,Trillium Brewing Company,American Imperial IPA,4.62
Westly,Sante Adairius Rustic Ales,American Wild Ale,4.67
Green,Tree House Brewing Company,New England IPA,4.58
Haze,Tree House Brewing Company,New England IPA,4.58
Society & Solitude #4,Hill Farmstead Brewery,American Imperial IPA,4.59
Sip Of Sunshine IPA,Lawson's Finest Liquids,American Imperial IPA,4.57
Hunahpu's Imperial Stout,Cigar City Brewing,American Imperial Stout,4.57
Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,American Imperial Stout,4.72
Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),4.58
Swish,Bissell Brothers Brewing Co.,American Imperial IPA,4.58
Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Belgian Fruit Lambic,4.58
Cable Car,The Lost Abbey,American Wild Ale,4.58
Aaron,Hill Farmstead Brewery,British Barleywine,4.6
Nectarine Premiere,de Garde Brewing,Belgian Saison,4.64
Supplication,Russian River Brewing Company,American Wild Ale,4.55
Grande Negro Voodoo Papi - Bourbon Barrel Aged,Voodoo Brewery,American Imperial Stout,4.63
Citra,Kern River Brewing Company,American Imperial IPA,4.56
Framboise Du Fermier,Side Project Brewing,Belgian Saison,4.7
West Ashley,Sante Adairius Rustic Ales,American Wild Ale,4.57
Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),4.56
Bourbon Paradise,Prairie Artisan Ales,American Imperial Stout,4.61
Pseudo Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,American Pale Ale (APA),4.57
Beatification,Russian River Brewing Company,American Wild Ale,4.55
Coffee Cinnamon B-Bomb,Fremont Brewing Company,Winter Warmer,4.57
Alter Ego,Tree House Brewing Company,New England IPA,4.55
Ann,Hill Farmstead Brewery,Belgian Saison,4.61
Fourth Dementia - Bourbon Barrel-Aged,Kuhnhenn Brewing Company,English Old Ale,4.55
Black Note Stout,Bell's Brewery - Eccentric Café & General Store,American Imperial Stout,4.54
Black Tuesday,The Bruery,American Imperial Stout,4.54
Drie Fonteinen Oude Geuze Vintage,Brouwerij 3 Fonteinen,Belgian Gueuze,4.57
Ephraim,Hill Farmstead Brewery,American Imperial IPA,4.56
Saison Du Fermier,Side Project Brewing,Belgian Saison,4.57
Society & Solitude #5,Hill Farmstead Brewery,American Imperial IPA,4.55
Beer Geek Vanilla Shake - Bourbon Barrel-Aged,Mikkeller ApS,American Imperial Stout,4.59
Chocolate Rain,The Bruery,American Imperial Stout,4.54
Cantillon Saint Lamvinus,Brasserie Cantillon,Belgian Fruit Lambic,4.54
Triple Shot,Tree House Brewing Company,American Imperial Stout,4.6
In Perpetuity,Tree House Brewing Company,American IPA,4.56
Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Russian Imperial Stout,4.53
Sunday Brunch,Kane Brewing Company,American Porter,4.56
Double Shot,Tree House Brewing Company,American Stout,4.55
Keene Idea,Alpine Beer Company,American Imperial IPA,4.58
Bourbon Barrel Aged Dark Lord Imperial Stout,3 Floyds Brewing Co.,Russian Imperial Stout,4.55
Flora Plum,Hill Farmstead Brewery,Belgian Saison,4.62
Cutting Tiles (Mosaic),Trillium Brewing Company,American Imperial IPA,4.54
Abricot Du Fermier,Side Project Brewing,Belgian Saison,4.61
Notorious Triple IPA,Boneyard Beer Company,American Imperial IPA,4.55
§ucaba,Firestone Walker Brewing Co.,British Barleywine,4.52
Pseudo Sue,Toppling Goliath Brewing Company,American Pale Ale (APA),4.51
Beyond Good And Evil,Hill Farmstead Brewery,American Imperial Stout,4.56
Last Buffalo In The Park,Funky Buddha Brewery,American Porter,4.55
Mexican Brunch,Kane Brewing Company,American Porter,4.57
The Rusty Nail,Fremont Brewing Company,American Imperial Stout,4.57
Breakfast Stout,Founders Brewing Company,American Imperial Stout,4.51
Miami Madness,J. Wakefield Brewing,Berliner Weisse,4.58
Pirate Bomb!,Prairie Artisan Ales,American Imperial Stout,4.52
Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company,American Imperial Stout,4.52
Parabajava,Firestone Walker Brewing Co.,Russian Imperial Stout,4.54
Bourbon County Brand Barleywine Ale,Goose Island Beer Co.,British Barleywine,4.51
Grey Monday,The Bruery,American Imperial Stout,4.52
Maman,Perennial Artisan Ales,American Imperial Stout,4.6
The Broken Truck,de Garde Brewing,American Wild Ale,4.61
Double Dry Hopped Double Mosaic Dream,Other Half Brewing Co.,American Imperial IPA,4.56
Wide Awake It's Morning,Funky Buddha Brewery,American Imperial Porter,4.53
Trappistes Rochefort 10,Brasserie de Rochefort,Belgian Quadrupel (Quad),4.5
Scaled Way Up,Trillium Brewing Company,American Imperial IPA,4.56
Bomb!,Prairie Artisan Ales,American Imperial Stout,4.5
Abrasive Ale,Surly Brewing Company,American Imperial IPA,4.5
A Deal With The Devil,Anchorage Brewing Company,American Barleywine,4.52
Pirate Paradise,Prairie Artisan Ales,American Imperial Stout,4.62
Imperial Biscotti Break - Bourbon Barrel-Aged,Evil Twin Brewing,American Imperial Stout,4.51
Pugachev Royale,Hangar 24 Brewing,Russian Imperial Stout,4.59
Permanent Funeral,3 Floyds Brewing Co.,American Imperial IPA,4.5
Great,Alpine Beer Company,American Barleywine,4.53
Everett Porter,Hill Farmstead Brewery,American Porter,4.5
Society & Solitude #6,Hill Farmstead Brewery,American Imperial IPA,4.52
Congress Street IPA,Trillium Brewing Company,American IPA,4.5
Double Dry Hopped Melcher Street,Trillium Brewing Company,American IPA,4.51
Mosaic Dry Hopped Fort Point,Trillium Brewing Company,American Pale Ale (APA),4.51
Cantillon Blåbær Lambik,Brasserie Cantillon,Belgian Fruit Lambic,4.52
Montmorency Vs Balaton,Jester King Brewery,American Wild Ale,4.52
Susan,Hill Farmstead Brewery,American IPA,4.5
Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,American Imperial Stout,4.5
Heavy Mettle,Trillium Brewing Company,American Imperial IPA,4.51
Consecration,Russian River Brewing Company,American Wild Ale,4.49
Black Tuesday - Reserve,The Bruery,American Imperial Stout,4.62
Sosus,Toppling Goliath Brewing Company,New England IPA,4.5
Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,American Imperial Stout,4.52
Drie Fonteinen Framboos,Brouwerij 3 Fonteinen,Belgian Fruit Lambic,4.52
Saison Bernice,Sante Adairius Rustic Ales,Belgian Saison,4.51
Upper Case,Trillium Brewing Company,American Imperial IPA,4.51
Mocha Wednesday,The Bruery,American Imperial Stout,4.5
The Peach,de Garde Brewing,American Wild Ale,4.6
Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,Belgian Gueuze,4.5
Crusher,The Alchemist Brewery and Visitors Center,American Imperial IPA,4.49
Double Dry Hopped Mylar Bags,Other Half Brewing Co.,New England IPA,4.55
Cutting Tiles - Galaxy,Trillium Brewing Company,American Imperial IPA,4.53
Darkness,Surly Brewing Company,Russian Imperial Stout,4.48
Drie Fonteinen Hommage,Brouwerij 3 Fonteinen,Belgian Fruit Lambic,4.5
No Rules,Perrin Brewery,American Imperial Porter,4.49
Hold On To Sunshine,Tree House Brewing Company,English Sweet / Milk Stout,4.56
Moment Of Clarity,Tree House Brewing Company,English Sweet / Milk Stout,4.65
Double Stack,Great Notion Brewing,American Imperial Stout,4.53
Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,American Imperial Stout,4.51
Barrel Aged Bomb!,Prairie Artisan Ales,American Imperial Stout,4.49
The Abyss,Deschutes Brewery,American Imperial Stout,4.47
Double Barrel Jesus,Evil Twin Brewing,American Imperial Stout,4.5
Ten FIDY - Bourbon Barrel Aged,Oskar Blues Grill & Brew,Russian Imperial Stout,4.48
Drie Fonteinen Oude Geuze Golden Blend,Brouwerij 3 Fonteinen,Belgian Gueuze,4.49
Bad Boy,Alpine Beer Company,American Imperial IPA,4.51
Prairie Apple Brandy Noir,Prairie Artisan Ales,American Imperial Stout,4.48
Ground State,Bottle Logic Brewing,American Imperial Stout,4.51
Stickee Monkee,Firestone Walker Brewing Co.,Belgian Quadrupel (Quad),4.47
Abraxas,Perennial Artisan Ales,American Imperial Stout,4.47
Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgian Dubbel,4.47
Hopslam Ale,Bell's Brewery - Eccentric Café & General Store,American Imperial IPA,4.46
BDCS,Ozark Beer Co.,American Imperial Stout,4.52
Abt 12,Brouwerij St. Bernardus NV,Belgian Quadrupel (Quad),4.46
Maple Bacon Coffee Porter,Funky Buddha Brewery,American Porter,4.47
Last Snow,Funky Buddha Brewery,American Porter,4.47
Double Dry Hopped Double Mosaic Daydream,Other Half Brewing Co.,New England IPA,4.54
Caffè Americano,Cigar City Brewing,American Imperial Stout,4.48
DFPF,J. Wakefield Brewing,Berliner Weisse,4.52
Fuzzy Baby Ducks IPA,New England Brewing Co.,American IPA,4.48
Bodhi,Columbus Brewing Company,American Imperial IPA,4.47
Barrel-Aged Silhouette,Lift Bridge Brewery,Russian Imperial Stout,4.52
Aurelian Lure,Jester King Brewery,American Wild Ale,4.49
Rodenbach Caractère Rouge,Brouwerij Rodenbach N.V.,Flanders Red Ale,4.47
Barrel-Aged Sump Coffee Stout,Perennial Artisan Ales,American Imperial Stout,4.5
Double Dry Hopped All Citra Everything,Other Half Brewing Co.,American Imperial IPA,4.52
Samuel Adams Utopias,Boston Beer Company (Samuel Adams),American Strong Ale,4.46
Todd The Axe Man India Pale Ale,Surly Brewing Company,American IPA,4.46
Emerald Grouper,Pipeworks Brewing Company,American Imperial IPA,4.48
Hop JuJu Imperial IPA,Fat Head's Brewery & Saloon,American Imperial IPA,4.46
Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),4.46
Second Fiddle,Fiddlehead Brewing Company,American Imperial IPA,4.46
Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co.,American Imperial Stout,4.46
Ghost In The Machine,Parish Brewing Company,American Imperial IPA,4.48
Art,Hill Farmstead Brewery,Belgian Saison,4.5
Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,American Imperial Stout,4.5
Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,American Porter,4.47
Vicinity,Trillium Brewing Company,American Imperial IPA,4.46
Adam From The Wood,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,4.47
Hunahpu's Imperial Stout - Bourbon Barrel-Aged,Cigar City Brewing,American Imperial Stout,4.52
Cantillon Gueuze 100% Lambic,Brasserie Cantillon,Belgian Gueuze,4.45
Temptation,Russian River Brewing Company,American Wild Ale,4.45
Oude Geuze Cuvée Armand & Gaston,Brouwerij 3 Fonteinen,Belgian Gueuze,4.51
Juicy,Hill Farmstead Brewery,Belgian Saison,4.48
Coolship Red,Allagash Brewing Company,Belgian Fruit Lambic,4.48
Fyodor,Stone Brewing,Russian Imperial Stout,4.46
Tweak,Avery Brewing Company,American Imperial Stout,4.45
La Fosse,Side Project Brewing,American Wild Ale,4.52
Birth Of Tragedy,Hill Farmstead Brewery,American Porter,4.46
Double Nelson,Hill Farmstead Brewery,American Imperial IPA,4.55
Mother Of All Storms,Pelican Pub & Brewery,British Barleywine,4.45
Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,American Imperial Stout,4.48
Citraquench'l,Heist Brewery,American IPA,4.55
Kiwi Herman,Alpine Beer Company,American Wild Ale,4.53
Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,Sante Adairius Rustic Ales,Belgian Saison,4.49
Space Trace,Bottle Logic Brewing,American Imperial Stout,4.52
Sang Noir,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,4.45
Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Russian Imperial Stout,4.47
Double Dry Hopped Sleeper Street,Trillium Brewing Company,American IPA,4.46
Nelson,Alpine Beer Company,American IPA,4.44
Clare's Thirsty Ale,Haymarket Beer Co. Pub & Brewery,American Imperial Stout,4.53
Coffee Abraxas,Perennial Artisan Ales,American Imperial Stout,4.47
Flora,Hill Farmstead Brewery,Belgian Saison,4.46
Darkstar November,Bottle Logic Brewing,Russian Imperial Stout,4.47
Bourbon Barrel Aged Dark Star,Fremont Brewing Company,English Oatmeal Stout,4.46
Peche 'n Brett,Logsdon Farmhouse Ales,Belgian Saison,4.44
Mastermind,Fiddlehead Brewing Company,American Imperial IPA,4.44
Scaled Up,Trillium Brewing Company,American Imperial IPA,4.45
Edward,Hill Farmstead Brewery,American Pale Ale (APA),4.43
Madagascar,4 Hands Brewing Co.,English Sweet / Milk Stout,4.45
Sure Bet,Pipeworks Brewing Company,American Imperial IPA,4.46
Epiphany,Foundation Brewing Company,American Imperial IPA,4.44
Somewhere, Something Incredible Is Waiting To Be Known,Tree House Brewing Company,English Sweet / Milk Stout,4.55
Sump Coffee Stout,Perennial Artisan Ales,American Imperial Stout,4.43
Double Orange Starfish,Aslin Beer Company,American Imperial IPA,4.5
Matt,Hair Of The Dog Brewing Company / Brewery And Tasting Room,American Strong Ale,4.44
Uncle Jacob's Stout,Avery Brewing Company,American Imperial Stout,4.42
Locust Reign,New England Brewing Co.,American Imperial IPA,4.48
B-Bomb (Bourbon Abominable Winter Ale),Fremont Brewing Company,American Strong Ale,4.43
Speedway Stout - Jamaica Blue Mountain Coffee,AleSmith Brewing Company,American Imperial Stout,4.45
Dialed In (w/ Sauvignon Blanc Juice),Trillium Brewing Company,American Imperial IPA,4.44
Enjoy By IPA,Stone Brewing,American Imperial IPA,4.41
Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,German Hefeweizen,4.41
Framboise For A Cure,Russian River Brewing Company,American Wild Ale,4.43
Péché Mortel - Fût De Bourbon Américain,Brasserie Dieu du Ciel!,American Imperial Stout,4.45
Citra Pale Ale,Hill Farmstead Brewery,American Pale Ale (APA),4.43
Péché Mortel,Brasserie Dieu du Ciel!,American Imperial Stout,4.41
Hop Venom Double IPA,Boneyard Beer Company,American Imperial IPA,4.43
Cantillon Vigneronne,Brasserie Cantillon,Belgian Fruit Lambic,4.42
Double Dry Hopped Scaled,Trillium Brewing Company,American IPA,4.43
Expedition Stout - Bourbon Barrel-Aged,Bell's Brewery - Eccentric Café & General Store,Russian Imperial Stout,4.48
Trickery,Hardywood Park Craft Brewery,English Sweet / Milk Stout,4.45
Oude Tart - Cherries,Bruery Terreux,Flanders Red Ale,4.42
M-43 N.E. India Pale Ale,Old Nation Brewing Co.,New England IPA,4.43
Mélange No. 3,The Bruery,American Strong Ale,4.41
Rue D'Floyd,The Bruery,American Porter,4.43
Master Of Karate,Aslin Beer Company,American Imperial IPA,4.46
Yellow Rose,The Lone Pint Brewery,American IPA,4.41
Citra Showers,Noble Ale Works,American Imperial IPA,4.44
Leon,Cigar City Brewing,British Barleywine,4.44
Dreadnaught IPA,3 Floyds Brewing Co.,American Imperial IPA,4.4
Barrel Aged Double Shot Double Black,Bent Paddle Brewing Co.,American Black Ale,4.48
